               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.063554,            0.029045,            0.021544,             0.58018,             0.16667,            0.097738,            0.036891,            0.032364,            0.023679,             0.23137,            0.008845,            0.008845,            0.008845
                  37,            0.064764,            0.031369,            0.019101,             0.55173,             0.16667,            0.054049,            0.026749,            0.032116,            0.026623,             0.25405,            0.008812,            0.008812,            0.008812
                  38,            0.050102,            0.026768,            0.014612,             0.51012,             0.33333,           0.0089486,           0.0015207,            0.046653,            0.039361,              0.2428,            0.008779,            0.008779,            0.008779
                  39,            0.053342,             0.02938,            0.018964,             0.54956,             0.33333,            0.071577,            0.030833,            0.037366,            0.051105,             0.21319,            0.008746,            0.008746,            0.008746
                  40,            0.057825,            0.028511,             0.01884,             0.57227,                 0.5,             0.14199,            0.058194,            0.036796,            0.041107,             0.20847,            0.008713,            0.008713,            0.008713
                  41,            0.046958,            0.027105,            0.017009,             0.61659,                 0.5,             0.13568,            0.046403,            0.037845,             0.01019,             0.14713,             0.00868,             0.00868,             0.00868
                  42,            0.047095,            0.028669,            0.016836,             0.58471,             0.16667,            0.092891,            0.026193,            0.042157,           0.0055398,             0.11529,            0.008647,            0.008647,            0.008647
                  43,            0.055532,            0.027651,            0.019692,                   0,                   0,                   0,                   0,            0.050645,           0.0026484,            0.087945,            0.008614,            0.008614,            0.008614
                  44,            0.058189,            0.029462,            0.023188,                   0,                   0,                   0,                   0,            0.049367,           0.0035099,            0.075046,            0.008581,            0.008581,            0.008581
                  45,            0.063988,            0.027317,            0.022099,          0.00091352,                 0.5,           0.0014094,          0.00028975,            0.035993,           0.0088923,            0.027469,            0.008548,            0.008548,            0.008548
                  46,            0.050764,            0.029916,            0.017837,           0.0021832,                 0.5,           0.0057778,           0.0007044,            0.031216,            0.010704,             0.01595,            0.008515,            0.008515,            0.008515
                  47,            0.053131,            0.028196,            0.017854,           0.0036962,                   1,            0.012574,           0.0018573,            0.026952,            0.011231,           0.0095864,            0.008482,            0.008482,            0.008482
                  48,            0.051192,            0.028717,            0.018334,           0.0037078,                   1,             0.01825,           0.0021729,            0.028903,            0.010855,           0.0097341,            0.008449,            0.008449,            0.008449
